"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 11 11:09:43 GMT 2025","Sat Oct 11 11:09:45 GMT 2025","2357","LMS system","Courses","Courses","","","Create course",""
"passed","Sat Oct 11 11:09:38 GMT 2025","Sat Oct 11 11:09:41 GMT 2025","3052","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Sat Oct 11 11:09:48 GMT 2025","Sat Oct 11 11:09:48 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentification","","","test_password_reset",""
"passed","Sat Oct 11 11:09:36 GMT 2025","Sat Oct 11 11:09:37 GMT 2025","1931","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sat Oct 11 11:09:48 GMT 2025","Sat Oct 11 11:09:48 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentification","","","test_login",""
"passed","Sat Oct 11 11:09:36 GMT 2025","Sat Oct 11 11:09:37 GMT 2025","1928","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sat Oct 11 11:09:43 GMT 2025","Sat Oct 11 11:09:44 GMT 2025","1650","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Sat Oct 11 11:09:46 GMT 2025","Sat Oct 11 11:09:48 GMT 2025","1818","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Sat Oct 11 11:09:38 GMT 2025","Sat Oct 11 11:09:39 GMT 2025","1304","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sat Oct 11 11:09:48 GMT 2025","Sat Oct 11 11:09:48 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentification","","","test_logout",""
"passed","Sat Oct 11 11:09:46 GMT 2025","Sat Oct 11 11:09:48 GMT 2025","2455","LMS system","Courses","Courses","","","Edit course",""
"passed","Sat Oct 11 11:09:48 GMT 2025","Sat Oct 11 11:09:48 GMT 2025","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Sat Oct 11 11:09:48 GMT 2025","Sat Oct 11 11:09:48 GMT 2025","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Sat Oct 11 11:09:41 GMT 2025","Sat Oct 11 11:09:43 GMT 2025","1466","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Sat Oct 11 11:09:48 GMT 2025","Sat Oct 11 11:09:48 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Sat Oct 11 11:09:41 GMT 2025","Sat Oct 11 11:09:43 GMT 2025","1285","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
